cell,StageTemperatureSum_2,StageTemperatureSum_3
100_100,785.918201661,136.078592932
100_101,793.904368389,156.846652694
100_102,499.561591027,193.143899605
100_103,710.084944373,167.260470436
100_104,757.53007663,169.199405121
100_105,763.826979735,173.522999628
100_106,765.993995968,153.06195868
100_107,711.93408416,157.524527626
100_108,709.674961151,147.781924539
100_109,740.650581487,147.778434642
100_110,380.929906618,211.333414044
100_111,418.113825859,182.028297348
100_112,375.687645385,179.958405268
100_113,392.240637708,216.606781323
100_114,411.682444621,159.555712704
100_115,433.395789464,120.426172456
100_116,358.346914878,165.900435859
100_117,401.219719786,191.119899822
100_118,370.908986172,167.867351705
100_119,481.223098171,212.300034147
100_120,502.114567109,195.873982408
100_121,543.90535928,236.375146559
100_122,501.537506707,218.900896712
100_123,485.544987787,163.708823534
100_124,362.424391794,210.475453898
100_125,376.35675877,193.907939221
100_126,366.377060008,158.222220808
100_127,353.333637396,146.56545817
100_128,364.566919346,160.950379705
100_129,402.213860689,226.844734104
100_130,402.066797866,195.024651681
100_131,406.577628941,186.794898019
100_132,495.764741377,188.174816184
100_133,495.137173725,200.123264357
100_134,467.411669546,192.089582765
100_135,456.103539649,178.555626443
100_136,436.020244581,160.09589979
100_137,411.098869403,151.902284218
100_138,451.318760277,188.538871301
100_139,489.886214891,238.074494003
100_140,508.9025085,196.378612802
100_141,491.228186339,148.697328839
100_142,465.589564023,191.720242937
100_143,449.930555552,190.020328294
100_144,433.363779609,196.347332469
100_145,448.299616973,185.546537016
100_146,517.061407929,191.249055479
100_147,483.004385341,198.659592967
100_85,482.178782741,237.958954547
100_86,525.116134607,174.540371922
100_87,485.014961874,125.27964646
100_88,492.235804912,196.662079789
100_89,527.966680636,184.329173846
100_90,482.228412841,222.045799279
100_91,531.05396188,192.595814869
100_92,513.306781512,181.991529403
100_93,557.437180949,174.379621644
100_94,503.41990046,196.823822285
100_95,538.023837146,172.917568388
100_96,534.993505675,185.680997459
100_97,542.928949521,189.768261167
100_98,547.469304944,180.870448338
100_99,456.197806479,138.581966479
101_100,568.218554932,189.035062159
101_101,512.004125401,221.056987539
101_102,793.495758959,159.042390446
101_103,744.807032373,145.324500306
101_104,687.531795666,97.316692335
101_105,775.993511581,142.475034537
101_106,725.379282309,171.795407978
101_107,695.380761543,154.551793624
101_108,727.116870874,140.152078333
101_109,698.806447888,129.278453929
101_110,718.404128342,143.887412964
101_111,767.774937595,127.162500019
